N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,68500.0,300.0,-0.44%,100.0,68800.0,69100.0,68200.0
2.0,LG에너지솔루션,542000.0,1000.0,-0.18%,500.0,545000.0,548000.0,540000.0
3.0,SK하이닉스,119800.0,200.0,-0.17%,5000.0,118300.0,120300.0,118100.0
4.0,삼성바이오로직스,795000.0,12000.0,-1.49%,2500.0,808000.0,812000.0,792000.0
5.0,POSCO홀딩스,602000.0,10000.0,+1.69%,5000.0,595000.0,614000.0,584000.0
6.0,삼성전자우,56700.0,500.0,-0.87%,100.0,56800.0,57000.0,56500.0
7.0,LG화학,639000.0,4000.0,-0.62%,5000.0,638000.0,643000.0,635000.0
8.0,삼성SDI,638000.0,1000.0,-0.16%,5000.0,640000.0,643000.0,634000.0
9.0,현대차,192600.0,900.0,+0.47%,5000.0,191600.0,193200.0,190500.0
10.0,포스코퓨처엠,485500.0,3000.0,-0.61%,500.0,492000.0,495000.0,478000.0
11.0,NAVER,222500.0,500.0,-0.22%,100.0,230500.0,235500.0,220000.0
12.0,기아,81000.0,300.0,+0.37%,5000.0,80900.0,81000.0,80100.0
13.0,카카오,51500.0,1800.0,-3.38%,100.0,53800.0,55000.0,51000.0
14.0,셀트리온,150200.0,1000.0,-0.66%,1000.0,151600.0,151900.0,149500.0
15.0,현대모비스,230500.0,500.0,+0.22%,5000.0,230500.0,231000.0,227500.0
16.0,KB금융,52600.0,1400.0,+2.73%,5000.0,51700.0,52600.0,51400.0
17.0,삼성물산,104400.0,1000.0,-0.95%,100.0,105700.0,105700.0,103600.0
18.0,SK이노베이션,207500.0,1000.0,+0.48%,5000.0,210000.0,210500.0,202000.0
19.0,신한지주,35200.0,250.0,+0.72%,5000.0,34950.0,35450.0,34850.0
20.0,LG전자,104200.0,400.0,-0.38%,5000.0,105200.0,105500.0,104100.0
21.0,포스코인터내셔널,87300.0,5200.0,+6.33%,5000.0,82700.0,89400.0,82400.0
22.0,삼성생명,69400.0,300.0,+0.43%,500.0,68700.0,69700.0,68600.0
